300 56691
2 290 10
2 291 13
2 293 14
2 295 2
2 296 14
2 297 2
2 298 2
3 1 11
3 2 14
3 4 2
3 5 10
3 6 3
3 7 8
3 8 7
3 9 7
3 11 11
3 12 6
3 14 13
3 18 5
3 19 10
3 21 7
3 24 7
3 25 2
3 26 13
3 28 3
3 30 13
3 31 13
3 33 3
3 34 5
3 35 3
3 37 6
3 38 4
3 39 10
3 40 3
3 45 10
3 46 5
3 47 6
3 50 1
3 53 7
3 54 7
3 55 2
3 57 7
3 58 13
3 60 5
3 61 14
3 62 1
3 63 2
3 65 5
3 67 9
3 68 14
3 69 7
3 70 9
3 71 8
3 72 12
3 73 10
3 74 11
3 76 11
3 78 7
3 79 9
3 81 6
3 83 7
3 84 5
3 85 14
3 87 6
3 90 11
3 91 5
3 92 5
3 93 7
3 95 14
3 96 4
3 97 12
3 99 4
3 100 7
3 101 10
3 102 1
3 103 3
3 105 11
3 106 1
3 107 2
3 108 1
3 109 1
3 110 14
3 111 11
3 112 8
3 115 11
3 116 1
3 117 8
3 118 4
3 119 1
3 120 8
3 121 5
3 122 10
3 125 4
3 126 2
3 129 10
3 131 5
3 132 12
3 133 8
3 134 14
3 135 13
3 136 2
3 138 13
3 139 6
3 140 12
3 141 2
3 143 2
3 146 4
3 148 12
3 149 2
3 150 2
3 152 5
3 153 7
3 154 1
3 155 11
3 156 5
3 158 4
3 160 11
3 161 14
3 162 13
3 164 9
3 165 1
3 166 3
3 168 2
3 170 8
3 171 6
3 175 2
3 176 10
3 177 10
3 178 11
3 179 2
3 183 8
3 184 11
3 185 12
3 187 3
3 188 8
3 190 14
3 191 12
3 192 9
3 195 2
3 196 8
3 197 8
3 198 13
3 199 1
3 201 3
3 202 3
3 206 14
3 208 4
3 209 13
3 210 9
3 212 7
3 215 14
3 216 5
3 217 8
3 218 14
3 220 10
3 221 11
3 224 9
3 225 1
3 227 7
3 229 8
3 230 4
3 231 5
3 232 14
3 233 5
3 234 8
3 236 11
3 237 11
3 239 13
3 240 14
3 241 12
3 242 13
3 243 12
3 244 11
3 247 5
3 249 3
3 250 7
3 251 8
3 252 2
3 255 10
3 258 2
3 259 2
3 261 6
3 262 13
3 263 1
3 264 5
3 265 8
3 266 14
3 268 5
3 270 2
3 272 14
3 274 8
3 275 8
3 276 10
3 277 3
3 278 10
3 279 11
3 280 11
3 283 9
3 284 6
3 286 9
3 287 13
3 289 7
3 290 14
3 291 14
3 294 4
4 1 2
4 2 12
4 6 9
4 9 5
4 11 9
4 12 7
4 13 1
4 14 3
4 15 5
4 16 14
4 22 1
4 23 6
4 26 4
4 28 6
4 29 10
4 30 3
4 33 1
4 34 5
4 35 9
4 36 9
4 37 3
4 38 1
4 39 3
4 40 5
4 41 3
4 42 6
4 43 8
4 47 6
4 48 8
4 49 4
4 50 11
4 53 14
4 54 3
4 55 6
4 56 5
4 57 2
4 58 4
4 59 3
4 61 11
4 63 12
4 64 11
4 65 1
4 66 5
4 67 4
4 68 10
4 70 14
4 71 10
4 73 13
4 74 11
4 76 7
4 77 1
4 80 9
4 81 10
4 82 12
4 84 10
4 85 10
4 88 10
4 89 13
4 90 3
4 92 1
4 93 12
4 94 2
4 95 1
4 97 1
4 98 1
4 100 3
4 101 3
4 104 11
4 105 2
4 108 2
4 112 13
4 113 11
4 117 3
4 121 14
4 122 3
4 124 5
4 126 9
4 128 7
4 129 8
4 130 7
4 131 8
4 132 12
4 133 1
4 136 7
4 137 9
4 139 5
4 140 4
4 141 13
4 143 7
4 144 13
4 145 12
4 146 11
4 148 7
4 149 4
4 150 10
4 151 8
4 152 2
4 153 13
4 154 7
4 156 1
4 157 5
4 159 3
4 160 8
4 161 7
4 162 1
4 163 8
4 164 6
4 165 3
4 167 10
4 168 12
4 169 10
4 170 7
4 171 3
4 172 12
4 173 10
4 174 12
4 175 1
4 178 5
4 179 9
4 180 2
4 181 11
4 182 4
4 185 12
4 187 4
4 188 3
4 189 5
4 190 5
4 198 6
4 199 11
4 200 7
4 201 13
4 202 4
4 203 4
4 204 4
4 207 5
4 208 4
4 209 11
4 210 5
4 214 2
4 215 13
4 216 11
4 218 14
4 220 7
4 221 1
4 222 10
4 224 4
4 225 11
4 226 1
4 227 9
4 228 2
4 229 9
4 230 1
4 231 14
4 233 6
4 236 7
4 240 7
4 242 8
4 244 3
4 247 14
4 250 12
4 251 8
4 252 2
4 253 11
4 254 6
4 256 13
4 258 11
4 259 14
4 260 3
4 261 6
4 264 12
4 265 7
4 268 11
4 269 1
4 271 8
4 272 12
4 274 7
4 276 2
4 277 6
4 278 14
4 281 4
4 282 3
4 283 14
4 284 13
4 285 1
4 287 14
4 288 7
4 290 2
4 292 6
4 293 11
4 294 2
4 295 7
4 296 6
4 297 2
4 299 5
5 2 11
5 3 11
5 9 2
5 13 5
5 17 8
5 18 10
5 19 5
5 21 12
5 23 4
5 24 8
5 25 5
5 26 5
5 31 4
5 32 5
5 33 2
5 34 8
5 35 5
5 36 14
5 37 3
5 41 6
5 42 3
5 43 3
5 44 11
5 45 13
5 47 1
5 50 7
5 51 2
5 52 3
5 53 14
5 54 11
5 55 4
5 56 5
5 58 1
5 59 10
5 60 5
5 61 7
5 62 3
5 64 5
5 65 4
5 66 8
5 67 8
5 69 11
5 70 2
5 74 2
5 75 7
5 77 7
5 78 3
5 79 12
5 81 7
5 83 13
5 84 10
5 85 13
5 86 11
5 87 13
5 90 6
5 93 9
5 95 5
5 96 11
5 99 11
5 100 3
5 103 3
5 104 6
5 105 5
5 106 11
5 107 13
5 109 14
5 110 7
5 111 12
5 112 8
5 113 1
5 115 3
5 116 6
5 118 6
5 119 13
5 120 8
5 125 13
5 126 12
5 128 1
5 129 10
5 132 7
5 133 14
5 134 8
5 136 4
5 137 8
5 139 10
5 141 12
5 144 4
5 146 2
5 147 6
5 148 14
5 149 7
5 150 11
5 151 4
5 155 1
5 156 11
5 157 14
5 158 3
5 159 9
5 160 13
5 162 14
5 163 7
5 164 11
5 166 13
5 167 7
5 168 2
5 170 4
5 172 10
5 173 2
5 174 8
5 175 9
5 176 3
5 177 1
5 178 6
5 181 11
5 182 14
5 184 2
5 186 9
5 188 3
5 189 3
5 191 10
5 192 4
5 194 7
5 195 12
5 196 14
5 197 8
5 198 3
5 199 14
5 200 7
5 201 14
5 202 8
5 203 14
5 204 5
5 206 7
5 208 12
5 209 4
5 210 3
5 214 7
5 217 1
5 219 14
5 220 13
5 221 7
5 223 7
5 225 4
5 227 1
5 229 9
5 230 12
5 231 6
5 232 11
5 235 8
5 236 2
5 237 2
5 238 7
5 239 11
5 240 8
5 241 10
5 243 14
5 245 8
5 246 9
5 247 4
5 248 3
5 249 8
5 253 1
5 254 3
5 255 3
5 258 6
5 260 4
5 262 14
5 265 3
5 267 10
5 271 12
5 273 11
5 274 1
5 278 12
5 279 3
5 281 5
5 283 3
5 284 2
5 286 14
5 287 6
5 288 7
5 289 2
5 290 4
5 291 3
5 292 4
5 293 4
5 295 2
5 296 12
5 297 14
5 298 10
5 300 4
6 1 4
6 3 13
6 4 11
6 7 1
6 9 11
6 11 10
6 15 6
6 16 14
6 17 14
6 18 13
6 19 4
6 20 2
6 23 9
6 26 6
6 28 14
6 29 6
6 30 14
6 31 13
6 33 12
6 34 4
6 36 12
6 37 1
6 38 7
6 39 11
6 40 9
6 41 14
6 42 6
6 44 10
6 45 6
6 48 2
6 49 12
6 50 1
6 54 1
6 55 7
6 56 4
6 57 13
6 58 6
6 59 13
6 60 6
6 61 7
6 62 9
6 63 4
6 64 6
6 66 12
6 69 4
6 71 12
6 72 8
6 73 5
6 74 6
6 75 8
6 76 3
6 78 7
6 79 9
6 80 1
6 82 5
6 86 2
6 87 14
6 88 5
6 92 14
6 95 10
6 97 14
6 100 13
6 101 13
6 102 1
6 105 10
6 108 7
6 109 1
6 110 9
6 112 3
6 114 10
6 115 4
6 117 6
6 118 13
6 121 8
6 122 11
6 123 13
6 124 14
6 126 12
6 127 5
6 128 12
6 129 8
6 130 6
6 134 11
6 135 14
6 139 1
6 141 8
6 142 1
6 143 2
6 144 3
6 145 13
6 148 7
6 149 12
6 150 4
6 151 2
6 154 3
6 155 14
6 156 2
6 157 2
6 159 14
6 160 11
6 161 4
6 164 14
6 165 8
6 169 5
6 170 5
6 171 9
6 173 9
6 174 4
6 175 12
6 176 5
6 178 1
6 179 11
6 180 7
6 181 5
6 183 13
6 184 4
6 187 6
6 188 10
6 189 1
6 191 5
6 193 9
6 194 11
6 195 14
6 197 6
6 198 13
6 199 1
6 201 6
6 202 8
6 203 12
6 204 12
6 205 7
6 206 3
6 209 9
6 210 11
6 211 1
6 213 9
6 215 7
6 216 14
6 219 6
6 220 4
6 221 1
6 223 14
6 224 8
6 225 5
6 226 5
6 228 9
6 229 7
6 231 11
6 232 6
6 236 4
6 238 8
6 239 9
6 240 1
6 241 13
6 243 7
6 244 12
6 246 2
6 249 6
6 250 5
6 251 2
6 254 5
6 255 5
6 256 14
6 257 13
6 258 14
6 259 2
6 260 14
6 263 10
6 264 3
6 265 5
6 266 10
6 267 7
6 268 5
6 270 4
6 271 10
6 272 8
6 273 13
6 276 6
6 278 2
6 279 12
6 280 8
6 281 12
6 284 14
6 287 5
6 288 3
6 290 13
6 291 3
6 292 3
6 295 12
6 296 3
6 298 10
6 299 1
6 300 8
7 1 12
7 2 11
7 4 7
7 6 13
7 8 11
7 9 1
7 10 14
7 12 13
7 13 11
7 14 6
7 15 7
7 17 9
7 19 11
7 20 10
7 22 11
7 23 2
7 24 5
7 25 5
7 26 3
7 28 12
7 29 4
7 33 5
7 35 10
7 39 9
7 40 10
7 41 6
7 42 4
7 43 4
7 44 1
7 45 13
7 46 6
7 47 6
7 48 4
7 49 1
7 51 7
7 54 9
7 55 3
7 56 2
7 58 4
7 59 13
7 63 6
7 65 11
7 67 14
7 69 4
7 70 4
7 71 13
7 72 9
7 74 11
7 76 13
7 77 7
7 78 9
7 79 7
7 81 7
7 83 3
7 84 13
7 85 5
7 86 6
7 87 14
7 88 13
7 89 6
7 90 1
7 91 1
7 92 3
7 94 10
7 95 2
7 96 13
7 97 7
7 98 13
7 99 14
7 101 3
7 104 13
7 105 8
7 107 9
7 108 12
7 110 10
7 111 7
7 114 7
7 115 7
7 118 3
7 119 6
7 121 3
7 122 6
7 125 2
7 126 7
7 127 7
7 128 3
7 130 7
7 133 3
7 134 2
7 135 12
7 137 7
7 138 7
7 140 8
7 143 3
7 144 3
7 145 12
7 146 11
7 148 6
7 149 3
7 150 7
7 151 7
7 153 8
7 154 11
7 155 3
7 156 4
7 157 11
7 158 12
7 159 4
7 160 10
7 162 14
7 163 6
7 164 10
7 165 10
7 166 7
7 167 4
7 169 12
7 170 5
7 171 14
7 172 5
7 173 3
7 174 14
7 175 11
7 178 10
7 179 10
7 180 8
7 181 10
7 182 3
7 183 2
7 185 1
7 186 5
7 187 7
7 188 3
7 191 12
7 193 6
7 194 7
7 196 13
7 197 14
7 198 11
7 199 11
7 202 13
7 203 11
7 204 1
7 205 9
7 206 1
7 207 4
7 208 8
7 209 6
7 210 4
7 212 8
7 213 8
7 215 2
7 218 13
7 219 8
7 226 3
7 227 8
7 228 12
7 229 3
7 232 7
7 233 5
7 234 3
7 236 9
7 238 6
7 239 12
7 240 7
7 243 8
7 244 8
7 247 5
7 248 7
7 249 11
7 251 4
7 253 6
7 254 1
7 255 5
7 256 12
7 257 2
7 259 13
7 260 12
7 267 2
7 268 12
7 270 2
7 273 10
7 276 1
7 277 1
7 279 2
7 280 2
7 281 7
7 283 3
7 285 8
7 286 4
7 287 8
7 289 1
7 290 2
7 292 3
7 293 9
7 298 2
8 1 13
8 3 5
8 4 1
8 5 10
8 6 2
8 10 10
8 11 13
8 12 2
8 14 14
8 15 1
8 16 13
8 17 2
8 19 7
8 20 10
8 21 5
8 23 11
8 24 4
8 25 3
8 26 11
8 27 3
8 28 2
8 29 4
8 30 5
8 31 10
8 33 11
8 37 6
8 38 5
8 42 4
8 43 1
8 44 7
8 45 8
8 46 4
8 48 2
8 50 9
8 51 4
8 52 10
8 54 6
8 56 7
8 59 11
8 60 13
8 61 1
8 63 3
8 64 9
8 65 7
8 66 3
8 71 7
8 72 3
8 76 10
8 77 10
8 78 3
8 82 9
8 83 3
8 84 10
8 85 12
8 87 1
8 90 6
8 93 9
8 94 6
8 97 9
8 100 11
8 102 9
8 103 1
8 104 6
8 105 2
8 108 5
8 110 2
8 114 12
8 115 5
8 117 13
8 118 4
8 119 13
8 121 12
8 122 6
8 124 12
8 125 7
8 127 6
8 128 12
8 129 13
8 130 14
8 132 7
8 133 9
8 134 1
8 135 14
8 136 7
8 138 11
8 139 13
8 140 4
8 142 5
8 143 10
8 147 11
8 148 1
8 150 12
8 151 4
8 153 4
8 154 7
8 158 4
8 159 9
8 160 10
8 161 8
8 162 8
8 163 8
8 164 2
8 165 1
8 166 4
8 167 3
8 168 13
8 169 2
8 170 1
8 171 12
8 174 7
8 176 14
8 177 13
8 180 9
8 182 7
8 184 14
8 185 9
8 187 13
8 188 9
8 189 8
8 192 10
8 195 13
8 197 8
8 198 6
8 199 9
8 201 13
8 206 10
8 207 8
8 208 7
8 211 2
8 212 4
8 213 14
8 215 7
8 218 2
8 220 2
8 221 11
8 224 1
8 225 1
8 226 6
8 228 12
8 229 12
8 230 10
8 231 6
8 232 11
8 233 8
8 237 11
8 238 3
8 240 2
8 243 9
8 245 5
8 246 1
8 247 1
8 248 9
8 250 3
8 251 10
8 253 9
8 254 4
8 255 14
8 258 13
8 262 12
8 263 5
8 266 9
8 267 10
8 269 5
8 271 14
8 274 13
8 276 12
8 277 10
8 279 8
8 282 12
8 283 9
8 284 7
8 285 14
8 286 3
8 288 7
8 289 12
8 290 10
8 291 5
8 294 14
8 298 10
8 299 8
8 300 11
9 2 5
9 3 5
9 5 12
9 7 12
9 8 1
9 10 4
9 11 14
9 12 7
9 13 8
9 14 2
9 16 4
9 17 7
9 19 9
9 20 5
9 21 4
9 22 11
9 26 2
9 27 13
9 28 9
9 30 2
9 31 5
9 33 10
9 34 5
9 35 13
9 36 10
9 37 3
9 38 7
9 39 12
9 40 6
9 41 14
9 42 8
9 43 1
9 44 5
9 46 6
9 47 1
9 51 2
9 53 13
9 54 13
9 55 8
9 56 10
9 57 12
9 58 7
9 59 7
9 60 11
9 61 12
9 66 10
9 68 2
9 71 14
9 72 12
9 74 11
9 75 5
9 76 2
9 79 6
9 80 2
9 81 6
9 82 8
9 83 2
9 84 4
9 86 10
9 88 2
9 89 3
9 90 11
9 91 14
9 92 2
9 93 1
9 95 3
9 96 13
9 97 13
9 100 9
9 101 2
9 102 6
9 103 9
9 106 10
9 107 10
9 109 9
9 112 3
9 113 14
9 114 6
9 117 12
9 118 12
9 119 10
9 120 1
9 122 6
9 124 3
9 126 14
9 128 14
9 129 6
9 131 2
9 132 3
9 133 4
9 135 14
9 137 13
9 138 8
9 139 9
9 143 5
9 148 13
9 149 11
9 151 11
9 152 10
9 153 5
9 154 12
9 156 13
9 158 6
9 160 6
9 161 7
9 164 1
9 165 14
9 166 8
9 167 8
9 168 13
9 173 4
9 174 1
9 175 12
9 177 7
9 178 11
9 179 3
9 183 6
9 184 5
9 185 9
9 186 6
9 187 6
9 188 14
9 190 14
9 191 4
9 192 3
9 193 7
9 195 1
9 196 4
9 197 2
9 199 10
9 200 6
9 202 9
9 204 14
9 205 1
9 206 12
9 208 1
9 209 10
9 210 4
9 211 4
9 212 4
9 215 9
9 216 10
9 217 3
9 218 5
9 219 12
9 221 5
9 222 5
9 224 9
9 225 4
9 227 3
9 230 9
9 231 10
9 232 10
9 233 11
9 234 10
9 235 13
9 236 13
9 237 13
9 240 14
9 241 14
9 242 11
9 244 9
9 246 12
9 247 10
9 248 14
9 250 7
9 251 7
9 252 7
9 253 4
9 256 3
9 257 10
9 259 8
9 260 6
9 263 6
9 264 13
9 266 3
9 269 10
9 272 7
9 276 4
9 277 11
9 278 6
9 279 11
9 280 13
9 282 2
9 283 2
9 284 1
9 285 2
9 288 1
9 289 2
9 292 12
9 293 13
9 294 10
9 295 4
9 297 6
9 298 8
9 300 14
10 3 4
10 5 5
10 7 11
10 8 1
10 9 6
10 11 3
10 13 4
10 14 5
10 15 4
10 16 14
10 18 10
10 19 3
10 20 2
10 21 1
10 22 12
10 23 3
10 26 14
10 27 13
10 28 13
10 29 12
10 30 7
10 32 13
10 33 1
10 34 7
10 35 6
10 36 12
10 38 3
10 39 13
10 40 2
10 43 10
10 44 2
10 47 9
10 49 3
10 52 2
10 54 5
10 55 6
10 56 11
10 57 7
10 58 12
10 59 2
10 60 12
10 61 9
10 62 3
10 65 13
10 66 10
10 67 13
10 68 8
10 69 10
10 70 6
10 71 3
10 73 9
10 74 3
10 76 14
10 77 2
10 78 9
10 81 13
10 82 12
10 83 12
10 84 13
10 85 9
10 86 3
10 89 3
10 90 6
10 91 8
10 94 4
10 97 1
10 98 5
10 102 10
10 103 3
10 104 6
10 105 7
10 106 4
10 108 7
10 110 2
10 112 12
10 113 12
10 115 4
10 116 13
10 117 4
10 119 9
10 121 12
10 123 13
10 125 5
10 126 6
10 130 6
10 131 1
10 133 3
10 135 4
10 136 1
10 137 14
10 139 5
10 141 12
10 142 4
10 144 8
10 145 14
10 146 4
10 149 9
10 157 4
10 158 9
10 159 8
10 160 2
10 161 7
10 165 5
10 166 12
10 168 14
10 170 13
10 171 11
10 172 8
10 173 6
10 174 13
10 175 5
10 176 7
10 177 5
10 178 10
10 180 2
10 182 7
10 183 12
10 184 6
10 186 6
10 189 9
10 190 3
10 191 3
10 192 10
10 193 9
10 194 13
10 197 7
10 198 1
10 199 11
10 202 5
10 204 2
10 205 3
10 206 7
10 208 11
10 209 4
10 210 5
10 212 7
10 215 10
10 216 7
10 217 9
10 219 10
10 220 10
10 221 5
10 222 2
10 225 14
10 226 14
10 227 3
10 228 6
10 229 6
10 231 8
10 234 2
10 235 11
10 238 11
10 239 5
10 240 9
10 243 13
10 244 5
10 245 2
10 248 8
10 250 3
10 251 9
10 253 5
10 254 12
10 255 9
10 257 14
10 261 7
10 262 11
10 263 4
10 264 1
10 266 1
10 268 5
10 270 5
10 275 9
10 276 4
10 278 14
10 279 4
10 280 8
10 282 5
10 284 10
10 291 8
10 292 5
10 294 13
10 297 12
10 299 4
11 2 2
11 4 7
11 8 3
11 9 10
11 10 4
11 12 1
11 15 7
11 18 1
11 20 4
11 21 9
11 22 10
11 24 7
11 26 11
11 29 6
11 30 4
11 31 8
11 33 7
11 34 1
11 36 5
11 37 9
11 38 11
11 39 14
11 41 14
11 43 11
11 44 10
11 45 14
11 46 12
11 47 7
11 48 3
11 51 5
11 53 7
11 54 11
11 55 1
11 56 9
11 57 3
11 58 12
11 63 5
11 64 6
11 66 7
11 67 2
11 69 11
11 70 2
11 71 8
11 73 7
11 74 13
11 75 12
11 76 5
11 78 5
11 80 9
11 81 4
11 83 3
11 84 12
11 85 9
11 86 3
11 87 1
11 88 12
11 92 2
11 93 1
11 94 14
11 95 7
11 98 5
11 100 11
11 101 10
11 102 14
11 104 9
11 107 12
11 108 4
11 111 6
11 113 11
11 114 8
11 115 8
11 116 2
11 117 14
11 119 10
11 121 5
11 122 6
11 123 10
11 124 9
11 126 8
11 127 11
11 129 4
11 138 14
11 140 14
11 142 13
11 145 1
11 146 11
11 147 6
11 148 11
11 149 9
11 150 5
11 151 12
11 153 6
11 154 6
11 157 14
11 159 12
11 160 6
11 161 3
11 162 3
11 163 8
11 164 10
11 165 14
11 167 3
11 168 1
11 172 5
11 173 8
11 175 8
11 176 3
11 177 7
11 178 8
11 179 3
11 180 3
11 181 7
11 183 2
11 184 3
11 185 11
11 186 13
11 187 7
11 188 14
11 190 8
11 193 14
11 194 9
11 196 2
11 197 1
11 198 14
11 199 7
11 200 4
11 204 5
11 205 3
11 206 14
11 208 12
11 210 2
11 211 7
11 213 1
11 214 11
11 219 3
11 224 7
11 225 5
11 226 8
11 227 7
11 228 4
11 229 10
11 230 5
11 231 12
11 232 11
11 233 3
11 235 14
11 236 9
11 237 1
11 239 6
11 241 10
11 243 2
11 244 1
11 245 1
11 247 7
11 250 2
11 251 6
11 252 1
11 253 9
11 255 10
11 256 9
11 258 6
11 259 8
11 260 2
11 261 1
11 262 14
11 263 7
11 264 10
11 265 3
11 267 1
11 269 7
11 270 3
11 272 6
11 273 7
11 275 6
11 276 2
11 277 14
11 280 5
11 281 5
11 284 6
11 285 7
11 286 4
11 287 8
11 288 1
11 293 9
11 294 3
11 296 14
11 297 13
11 298 7
12 3 14
12 4 9
12 5 4
12 7 12
12 9 7
12 11 2
12 13 14
12 14 10
12 15 11
12 17 6
12 18 3
12 19 9
12 20 6
12 21 5
12 23 10
12 24 7
12 25 9
12 26 13
12 27 12
12 28 14
12 29 1
12 31 12
12 33 9
12 36 9
12 37 4
12 38 12
12 43 7
12 46 3
12 47 1
12 49 5
12 50 8
12 51 5
12 52 12
12 53 8
12 55 1
12 57 10
12 58 13
12 59 1
12 60 5
12 62 4
12 64 2
12 65 7
12 66 7
12 68 13
12 69 1
12 70 7
12 73 11
12 75 10
12 76 9
12 78 12
12 79 2
12 80 11
12 81 6
12 82 4
12 83 12
12 87 1
12 90 13
12 91 9
12 92 12
12 93 7
12 94 4
12 95 3
12 97 3
12 101 6
12 103 5
12 104 1
12 105 5
12 108 2
12 109 1
12 110 10
12 111 1
12 112 9
12 114 13
12 115 12
12 117 13
12 118 13
12 119 10
12 121 4
12 123 7
12 127 5
12 128 2
12 129 1
12 130 1
12 131 13
12 133 9
12 134 13
12 136 6
12 137 1
12 138 14
12 140 6
12 142 7
12 144 14
12 146 14
12 147 3
12 151 7
12 153 13
12 156 4
12 158 5
12 160 1
12 161 12
12 162 9
12 163 1
12 164 8
12 165 4
12 166 10
12 169 13
12 170 10
12 173 3
12 174 5
12 175 11
12 177 13
12 178 14
12 180 1
12 181 13
12 182 12
12 184 8
12 188 11
12 191 7
12 192 14
12 193 12
12 194 3
12 195 4
12 198 12
12 202 4
12 205 2
12 206 11
12 207 10
12 211 4
12 213 13
12 214 12
12 215 2
12 216 1
12 218 13
12 220 4
12 223 9
12 224 11
12 225 5
12 226 1
12 227 9
12 228 13
12 230 9
12 231 10
12 233 8
12 234 3
12 236 10
12 237 7
12 238 11
12 239 10
12 240 12
12 242 3
12 245 6
12 246 13
12 247 14
12 248 6
12 250 1
12 252 10
12 253 3
12 254 7
12 255 13
12 256 1
12 257 2
12 258 8
12 259 9
12 261 6
12 262 1
12 267 13
12 268 14
12 269 10
12 270 3
12 271 5
12 273 14
12 274 14
12 276 11
12 280 7
12 281 2
12 282 12
12 283 4
12 285 10
12 286 7
12 291 13
12 292 3
12 293 1
12 294 2
12 295 5
12 296 8
12 297 8
12 299 5
13 1 8
13 9 4
13 10 2
13 12 13
13 14 3
13 18 5
13 19 3
13 21 2
13 23 1
13 24 6
13 27 8
13 28 9
13 31 7
13 32 5
13 33 12
13 34 8
13 35 6
13 37 14
13 38 7
13 39 11
13 41 5
13 43 7
13 44 5
13 45 6
13 47 7
13 48 12
13 49 1
13 50 2
13 52 12
13 54 13
13 55 6
13 56 14
13 57 5
13 58 11
13 59 1
13 60 10
13 62 6
13 64 2
13 65 8
13 66 14
